Character,Weapon Type,Weapon,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Li Dailin,Nunchaku,Vibro Nunchaku,3.9%,46.5%,12.0%,54.4%,18.2%,53.3%
Magnus,Bat,Statue of Soteria,3.1%,44.1%,7.6%,38.1%,15.7%,43.1%
Magnus,Bat,Mallet,2.7%,17.7%,9.2%,20.2%,12.9%,12.6%
Magnus,Bat,Spy Umbrella,4.4%,20.2%,17.9%,25.7%,13.9%,30.9%
Magnus,Bat,Monkey King Bar,22.8%,7.9%,56.1%,5.0%,-9999900.0%,2.7%
Magnus,Hammer,Fang Mace,4.6%,60.6%,11.3%,52.6%,17.4%,49.0%
Magnus,Hammer,Hammer of Dagda,4.7%,14.7%,9.7%,16.5%,14.8%,18.2%
Magnus,Hammer,Hammer of Thor,4.0%,8.6%,8.2%,14.8%,14.1%,19.3%
Magnus,Hammer,Magic Stick,9.7%,3.4%,37.7%,3.3%,41.0%,3.0%
Magnus,Hammer,Evening Star,10.5%,4.2%,27.7%,1.9%,38.1%,1.4%
Nadine,Bow,Ancient bolt,7.7%,53.7%,12.0%,43.6%,16.1%,33.2%
Nadine,Bow,Golden-Ratio Bow,6.8%,4.6%,13.8%,11.2%,20.3%,28.0%
Nadine,Bow,Twinbow,5.4%,27.8%,10.0%,32.8%,14.7%,26.5%
Nadine,Bow,Elemental Bow,14.7%,0.5%,-9999900.0%,0.8%,21.8%,1.5%
Nadine,Bow,Failnaught,32.7%,4.0%,52.7%,4.2%,57.7%,3.0%
Nadine,Crossbow,The Legend of The General,5.4%,10.5%,9.2%,14.4%,13.8%,13.2%
Nadine,Crossbow,Ballista,4.2%,9.8%,10.7%,10.5%,15.5%,9.7%
Nadine,Crossbow,Sniper Crossbow,5.4%,21.5%,11.4%,26.8%,17.4%,31.9%
Nadine,Crossbow,The Golden Ghost,5.7%,42.1%,11.5%,31.9%,13.1%,29.8%
Nadine,Crossbow,Sharanga,23.5%,5.0%,34.9%,6.1%,49.1%,5.8%
Rozzi,Pistol,Devil's Marksman,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.2%
Rozzi,Pistol,Elegance,3.7%,0.7%,6.4%,1.0%,12.4%,0.9%
Rozzi,Pistol,Electron Blaster,4.3%,76.1%,11.1%,77.5%,15.4%,78.6%
Rozzi,Pistol,Magnum-Boa,5.4%,8.1%,13.8%,8.1%,20.8%,7.8%
Rozzi,Pistol,Kelte,23.1%,2.8%,37.5%,4.1%,45.1%,4.7%
Shoichi,Dagger,Carnwennan,0.0%,0.3%,-9999900.0%,0.4%,-9999900.0%,0.2%
Shoichi,Dagger,Mount Slicer,4.0%,87.4%,13.0%,87.5%,19.2%,88.9%
Shoichi,Dagger,Vibroblade,0.7%,1.1%,7.1%,1.3%,11.6%,2.1%
Shoichi,Dagger,Fragarach,12.3%,0.6%,40.0%,1.2%,60.5%,1.1%
Silvia,Pistol,Devil's Marksman,3.7%,32.1%,10.1%,24.7%,14.7%,20.5%
Silvia,Pistol,Elegance,3.9%,5.5%,7.1%,5.7%,12.5%,6.8%
Silvia,Pistol,Electron Blaster,2.7%,28.8%,6.9%,32.3%,11.4%,30.7%
Silvia,Pistol,Magnum-Boa,6.0%,17.2%,9.9%,19.8%,14.4%,25.0%
Silvia,Pistol,Kelte,25.2%,4.9%,30.1%,6.3%,40.1%,5.6%
Sissela,Shuriken,Cards of Tyranny,0.5%,2.0%,2.9%,1.2%,8.6%,0.9%
Sissela,Shuriken,Mystic Jade Charm,4.7%,2.4%,13.5%,2.8%,25.1%,3.4%
Sissela,Shuriken,Fuhma Shuriken,3.7%,1.8%,6.7%,2.1%,19.3%,1.5%
Sissela,Shuriken,Frost Venom Dart,0.1%,9.4%,0.2%,5.3%,1.2%,4.6%
Sissela,Shuriken,Azure Dagger,1.3%,2.0%,7.8%,1.9%,13.4%,1.8%
Sissela,Shuriken,Flechette,1.9%,0.8%,13.0%,0.5%,17.9%,1.3%
Sissela,Shuriken,Wind and Fire Wheels,3.4%,36.8%,9.3%,54.9%,16.5%,58.2%
Sissela,Shuriken,Death Rune,5.9%,0.8%,21.0%,1.3%,34.1%,0.8%
Sissela,Shuriken,Sudarsana,27.3%,1.8%,43.3%,1.8%,48.5%,1.8%
Sissela,Shuriken,Petal Torrent,8.1%,26.8%,16.6%,16.7%,25.1%,15.5%
Sissela,Throw,Smoke Bomb,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.1%
Sissela,Throw,Incendiary Bomb,2.7%,28.3%,8.9%,26.6%,16.1%,24.7%
Sissela,Throw,David's Sling,3.4%,27.5%,10.3%,35.7%,17.8%,36.3%
Sissela,Throw,Grenade of Antioch,10.0%,6.8%,20.0%,2.0%,-9999900.0%,1.4%
Sissela,Throw,Ruthenium Marble,7.2%,22.1%,12.8%,20.4%,21.2%,25.0%
Xiukai,Spear,Gentian Silver Gun,1.4%,2.7%,7.4%,4.4%,13.5%,6.3%
Xiukai,Spear,Eighteen Foot Spear,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.1%
Xiukai,Spear,Cosmic Bident,-9999900.0%,0.2%,-9999900.0%,0.1%,-9999900.0%,0.0%
Xiukai,Spear,Lance of Poseidon,10.0%,8.3%,12.2%,18.4%,17.1%,22.5%
Xiukai,Spear,Blazing Lance,-9999900.0%,0.0%,-9999900.0%,0.1%,-9999900.0%,0.1%
Xiukai,Spear,Fangtian Huaji,15.0%,64.8%,17.4%,51.7%,24.3%,44.6%
Xiukai,Spear,Dragon Guandao,5.2%,1.9%,9.3%,6.5%,18.4%,8.6%
Xiukai,Spear,Spear of Longinus,-9999900.0%,0.0%,-9999900.0%,0.1%,-9999900.0%,0.1%
Xiukai,Dagger,Carnwennan,1.7%,8.6%,9.6%,8.2%,8.1%,9.2%
Xiukai,Dagger,Mount Slicer,12.0%,80.5%,12.7%,76.8%,21.5%,75.3%
Xiukai,Dagger,Vibroblade,-9999900.0%,0.5%,-9999900.0%,1.7%,-9999900.0%,1.7%
Xiukai,Dagger,Fragarach,-9999900.0%,0.2%,-9999900.0%,0.7%,-9999900.0%,0.6%
Yuki,Two Handed Sword,Thuận Thiên,1.3%,7.5%,7.9%,8.9%,13.0%,11.7%
Yuki,Two Handed Sword,Arondight,3.1%,56.5%,8.4%,53.4%,15.3%,49.5%
Yuki,Two Handed Sword,Excalibur,8.1%,2.6%,12.4%,4.0%,20.7%,5.9%
Yuki,Two Handed Sword,Plasma Sword,0.5%,3.9%,4.6%,4.9%,10.9%,5.1%
Yuki,Two Handed Sword,Laevateinn,16.4%,13.9%,28.9%,13.5%,39.0%,12.7%
Yuki,Two Handed Sword,Monohoshizao,4.4%,1.4%,11.2%,0.6%,21.1%,0.9%
Yuki,Two Handed Sword,Hovud,6.3%,4.7%,11.4%,5.0%,19.1%,5.8%
Yuki,Two Handed Sword,Dáinsleif,28.0%,1.0%,41.4%,1.1%,48.5%,1.2%
Yuki,Dual Swords,Divine Dual Swords,4.5%,12.5%,6.8%,7.7%,11.6%,5.2%
Yuki,Dual Swords,Starsteel Dual Swords,13.0%,4.4%,22.1%,2.2%,27.2%,1.9%
Yuki,Dual Swords,Dioscuri,1.9%,12.1%,6.3%,9.3%,9.9%,6.7%
Yuki,Dual Swords,Lloigor & Zahr,4.5%,64.8%,12.6%,76.4%,18.6%,82.3%
Zahir,Throw,Smoke Bomb,-9999900.0%,0.0%,-9999900.0%,0.1%,-9999900.0%,0.0%
Zahir,Throw,Incendiary Bomb,-9999900.0%,0.3%,-9999900.0%,0.1%,-9999900.0%,0.5%
Zahir,Throw,David's Sling,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.1%
Zahir,Throw,Grenade of Antioch,-9999900.0%,0.0%,-9999900.0%,0.0%,-9999900.0%,0.0%
Zahir,Throw,Ruthenium Marble,9.3%,76.3%,18.2%,80.2%,23.5%,78.3%
Zahir,Shuriken,Cards of Tyranny,-9999900.0%,0.6%,-9999900.0%,0.0%,-9999900.0%,0.0%
Zahir,Shuriken,Mystic Jade Charm,6.1%,47.4%,15.5%,45.4%,21.1%,38.2%
Zahir,Shuriken,Fuhma Shuriken,-9999900.0%,0.1%,-9999900.0%,0.0%,-9999900.0%,0.4%
Zahir,Shuriken,Frost Venom Dart,-9999900.0%,0.6%,-9999900.0%,0.7%,-9999900.0%,1.1%
Zahir,Shuriken,Azure Dagger,3.9%,24.0%,10.2%,30.4%,13.5%,32.8%
Zahir,Shuriken,Flechette,-9999900.0%,0.1%,-9999900.0%,0.1%,-9999900.0%,0.0%
Zahir,Shuriken,Wind and Fire Wheels,5.0%,7.8%,14.0%,7.7%,18.8%,12.4%
Zahir,Shuriken,Death Rune,8.0%,3.2%,19.0%,1.7%,-9999900.0%,1.6%
Zahir,Shuriken,Sudarsana,20.0%,1.1%,32.8%,1.7%,41.7%,2.4%
Zahir,Shuriken,Petal Torrent,15.7%,3.1%,27.7%,3.4%,26.7%,3.9%
