Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Arm,Radar,12.0%,18.7%,22.4%,16.2%,30.0%,14.8%
Arm,Tindalos Band,7.3%,3.5%,17.6%,3.7%,25.4%,4.9%
Arm,Mithril Shield,17.3%,2.9%,32.4%,2.3%,39.4%,2.6%
Arm,Auto-arms,36.0%,1.2%,52.5%,1.1%,53.9%,1.0%
Arm,Bracelet of Skadi,24.2%,1.8%,40.2%,1.3%,50.8%,1.4%
Leg,Feather Boots,7.1%,15.9%,14.5%,13.9%,22.8%,13.1%
Leg,Maverick Runner,0.9%,0.6%,3.8%,0.6%,10.8%,0.9%
Leg,Straitjacket Sneakers,2.5%,8.4%,11.1%,10.1%,18.1%,12.8%
Leg,Mithril Boots,19.8%,2.0%,32.9%,1.5%,37.0%,1.3%
Leg,Bucephalus,4.9%,12.2%,13.1%,10.9%,19.7%,9.8%
Leg,EOD Boots,8.2%,2.8%,20.6%,3.7%,28.7%,4.5%
Leg,White Rhinos,5.3%,17.4%,11.4%,15.7%,17.3%,13.8%
Leg,Tachyon Brace,7.0%,4.2%,15.3%,4.1%,23.2%,4.9%
Leg,Glacial Shoes,16.7%,4.1%,31.3%,4.5%,41.7%,5.4%
Leg,Boots of Hermes,33.6%,1.4%,51.3%,1.1%,60.0%,1.2%
Leg,Red Shoes,43.5%,1.5%,56.9%,1.3%,62.2%,1.1%
Accessory,Laced Quiver,6.4%,10.2%,14.0%,9.4%,21.6%,9.4%
Accessory,Sniper Scope,1.9%,0.4%,5.6%,0.3%,8.5%,0.2%
Accessory,Uchiwa,4.9%,11.9%,12.9%,13.0%,19.7%,14.0%
Accessory,Schrödinger's Box,7.1%,4.9%,16.8%,7.1%,23.9%,8.2%
Accessory,Veritas Lux Mea,6.0%,6.2%,15.6%,3.6%,21.0%,3.3%
Accessory,Lunar Embrace,14.6%,0.5%,29.4%,0.7%,41.5%,0.7%
Accessory,Emerald Tablet,39.2%,1.0%,52.5%,0.8%,52.0%,0.8%
Accessory,Glacial Ice,1.9%,0.0%,10.9%,0.1%,22.0%,0.1%
Accessory,True Samadhi Fire,5.3%,0.1%,16.3%,0.1%,29.8%,0.1%
Accessory,Moonlight Pendant,19.4%,4.7%,29.9%,3.0%,37.4%,2.6%
Accessory,White Crane Fan,8.1%,9.0%,16.1%,8.5%,22.9%,9.0%
Accessory,Magazine,8.6%,9.0%,16.0%,10.9%,22.9%,11.3%
Accessory,Flower of Fate,0.6%,0.8%,4.9%,0.8%,9.6%,0.8%
Accessory,Revenge of Goujian,8.4%,3.4%,17.1%,3.1%,26.1%,4.0%
Accessory,Buccaneer Doubloon,5.4%,7.8%,13.3%,7.3%,19.3%,6.3%
Accessory,Feather Duster,0.0%,1.2%,0.3%,1.1%,0.7%,1.0%
