Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Leg,Glacial Shoes,14.8%,4.8%,31.5%,5.3%,40.1%,5.7%
Leg,Boots of Hermes,28.9%,1.3%,46.8%,1.2%,52.7%,1.3%
Leg,Red Shoes,38.8%,1.8%,52.9%,1.4%,58.2%,1.2%
Accessory,Laced Quiver,6.2%,9.5%,13.4%,8.9%,20.8%,8.8%
Accessory,Sniper Scope,1.1%,0.4%,3.1%,0.3%,7.5%,0.4%
Accessory,Uchiwa,4.7%,13.2%,12.2%,14.7%,18.6%,15.1%
Accessory,Schrödinger's Box,7.0%,3.8%,16.6%,6.2%,24.1%,7.7%
Accessory,Veritas Lux Mea,6.6%,4.0%,14.3%,2.8%,22.5%,2.7%
Accessory,Lunar Embrace,17.3%,0.5%,32.8%,0.7%,40.7%,0.8%
Accessory,Emerald Tablet,35.4%,1.6%,48.0%,1.0%,52.4%,0.9%
Accessory,Glacial Ice,2.7%,0.0%,10.7%,0.1%,23.1%,0.1%
Accessory,True Samadhi Fire,6.8%,0.1%,15.5%,0.1%,28.9%,0.1%
Accessory,Moonlight Pendant,17.2%,5.1%,29.2%,3.2%,34.5%,2.6%
Accessory,White Crane Fan,8.2%,11.6%,16.0%,10.1%,22.8%,9.9%
Accessory,Magazine,7.6%,8.4%,15.1%,10.6%,21.1%,12.0%
Accessory,Flower of Fate,0.9%,1.0%,3.6%,0.7%,7.6%,0.7%
Accessory,Revenge of Goujian,5.8%,4.8%,15.8%,4.8%,24.4%,5.5%
Accessory,Buccaneer Doubloon,4.2%,8.7%,11.8%,7.8%,17.0%,6.9%
Accessory,Feather Duster,0.0%,0.9%,0.2%,1.0%,1.0%,0.8%
