Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Leg,Feather Boots,9.4%,23.6%,20.2%,19.9%,23.3%,19.0%
Leg,Maverick Runner,0.8%,0.2%,0.0%,0.3%,9.1%,0.4%
Leg,Straitjacket Sneakers,1.7%,9.5%,8.4%,13.1%,15.6%,16.1%
Leg,Mithril Boots,19.2%,1.6%,37.1%,1.2%,29.9%,1.4%
Leg,Bucephalus,4.2%,11.4%,12.9%,11.0%,17.4%,9.7%
Leg,EOD Boots,3.8%,1.2%,14.2%,2.8%,23.4%,2.4%
Leg,White Rhinos,4.3%,8.3%,11.9%,8.9%,13.8%,8.3%
Leg,Tachyon Brace,5.2%,16.2%,16.0%,14.0%,21.8%,15.4%
Leg,Glacial Shoes,15.0%,7.9%,35.7%,7.9%,45.6%,8.6%
Leg,Boots of Hermes,25.2%,1.5%,45.7%,1.6%,47.5%,1.4%
Leg,Red Shoes,32.3%,2.1%,55.8%,2.1%,52.8%,1.3%
Accessory,Laced Quiver,7.3%,11.2%,16.6%,12.5%,23.0%,11.8%
Accessory,Sniper Scope,0.0%,0.2%,2.9%,0.3%,1.6%,0.4%
Accessory,Uchiwa,2.6%,8.6%,12.6%,12.7%,19.1%,14.8%
Accessory,Schrödinger's Box,11.1%,2.6%,20.5%,6.4%,24.1%,8.8%
Accessory,Veritas Lux Mea,13.3%,6.1%,23.7%,2.6%,24.8%,1.9%
Accessory,Lunar Embrace,24.5%,0.6%,40.8%,1.0%,54.9%,0.7%
Accessory,Emerald Tablet,30.3%,1.8%,48.7%,1.3%,30.8%,0.1%
Accessory,Glacial Ice,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Accessory,True Samadhi Fire,25.0%,0.0%,14.3%,0.1%,40.1%,1.9%
Accessory,Moonlight Pendant,14.3%,4.1%,38.2%,2.1%,24.1%,15.4%
Accessory,White Crane Fan,6.9%,22.9%,18.5%,16.6%,22.0%,15.8%
Accessory,Magazine,10.1%,9.0%,20.9%,15.2%,4.3%,0.4%
Accessory,Flower of Fate,1.7%,0.5%,1.9%,0.4%,30.0%,5.2%
Accessory,Revenge of Goujian,7.1%,6.6%,18.3%,5.8%,13.6%,4.2%
Accessory,Buccaneer Doubloon,3.2%,7.2%,9.9%,4.9%,0.0%,0.9%
Accessory,Hawkeye,3.3%,0.6%,9.3%,1.3%,0.0%,0.0%
Accessory,Feather Duster,0.0%,0.8%,0.0%,1.1%,0.0%,0.0%
