Type,Armor,Solo Win Rate,Solo Pick Rate,Duo Win Rate,Duo Pick Rate,Squad Win Rate,Squad Pick Rate
Leg,Straitjacket Sneakers,1.9%,10.1%,10.8%,13.3%,19.7%,19.4%
Leg,Mithril Boots,19.0%,3.1%,35.7%,1.7%,40.1%,2.3%
Leg,Bucephalus,3.9%,8.4%,11.4%,9.7%,19.3%,9.3%
Leg,EOD Boots,4.7%,1.8%,22.3%,4.0%,24.6%,3.3%
Leg,White Rhinos,4.6%,12.8%,12.0%,11.3%,16.2%,9.7%
Leg,Tachyon Brace,7.4%,16.0%,17.5%,11.2%,24.3%,9.4%
Leg,Glacial Shoes,15.0%,5.9%,37.5%,6.7%,42.2%,8.1%
Leg,Boots of Hermes,26.7%,2.1%,53.1%,1.9%,51.1%,2.2%
Leg,Red Shoes,34.3%,1.8%,53.1%,1.4%,67.1%,1.4%
Accessory,Laced Quiver,8.6%,9.2%,17.7%,8.0%,24.1%,9.8%
Accessory,Sniper Scope,1.4%,0.5%,3.2%,0.2%,4.1%,0.6%
Accessory,Uchiwa,3.4%,10.7%,13.2%,12.3%,19.2%,13.2%
Accessory,Schrödinger's Box,9.4%,3.2%,23.1%,9.1%,27.7%,11.9%
Accessory,Veritas Lux Mea,7.9%,3.7%,13.4%,1.9%,26.3%,1.5%
Accessory,Lunar Embrace,22.1%,0.6%,30.6%,0.9%,60.0%,0.7%
Accessory,Emerald Tablet,34.4%,1.7%,57.0%,1.0%,22.2%,0.1%
Accessory,Glacial Ice,5.0%,0.0%,12.5%,0.1%,20.0%,0.0%
Accessory,True Samadhi Fire,22.2%,0.0%,16.7%,0.0%,35.5%,2.6%
Accessory,Moonlight Pendant,14.3%,6.2%,33.2%,3.9%,25.6%,11.3%
Accessory,White Crane Fan,8.7%,20.0%,20.7%,14.7%,24.6%,14.6%
Accessory,Magazine,9.2%,7.9%,19.5%,14.1%,8.7%,0.6%
Accessory,Flower of Fate,1.5%,0.8%,3.6%,0.6%,30.5%,7.9%
Accessory,Revenge of Goujian,7.3%,7.3%,21.0%,5.6%,15.1%,4.1%
Accessory,Buccaneer Doubloon,2.8%,7.3%,14.1%,5.3%,0.7%,0.8%
Accessory,Feather Duster,0.0%,0.8%,0.0%,0.8%,0.0%,0.0%
